riftbound_id,set_code,set_name,collector_number,printed_number,name,rarity,type,supertype,domain,energy,might,power,keywords,tags,rules_text,flavour_text,artist,image_url,alternate_art,signature,overnumbered,tcgplayer_id,cardmarket_id,riftcodex_id,synced_at
sfd-001-221,SFD,Spiritforged,1,001/221,Against the Odds,Common,Spell,,Fury,2,,,,,"[Reaction] (Play any time, even before spells and abilities resolve.)Give a friendly unit at a battlefield +2 :rb_might: this turn for each enemy unit there.",,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4c4ab0c838854ccd5d5399a045835876450287e8-744x1039.png?accountingTag=RB,False,False,False,665140,,69bc5bdfd308c64675ca8889,2026-06-09T19:37:42.747060+00:00
sfd-002-221,SFD,Spiritforged,2,002/221,Armed Assailant,Common,Unit,,Fury,6,6,1,,Noxus,"[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.)[Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for :rb_rune_rainbow: less, even if it's already attached.)",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1debdef1d45f7b2a452951db39674aeb01a8dc2b-744x1039.png?accountingTag=RB,False,False,False,666790,,69bc5be4d308c64675ca88ee,2026-06-09T19:37:42.747060+00:00
sfd-t03,SFD,Spiritforged,3,3,Gold // Buff,Common,Gear,Token,Colorless,,,,,,"Kill this, :rb_exhaust:: [Reaction] — [Add] :rb_rune_rainbow:. (Abilities that add resources can't be reacted to.)",,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e878c39b562a4e870e93b819c6d85cdf3fdc5238-744x1039.png,False,False,False,678188,,69c700533fb41419ee7cebb2,2026-06-09T19:37:42.747060+00:00
sfd-003-221,SFD,Spiritforged,3,003/221,Blood Rush,Common,Spell,,Fury,1,,,,,[Action] (Play on your turn or in showdowns.)[Repeat] :rb_energy_1: (You may pay the additional cost to repeat this spell's effect.)Give a unit [Assault 2] this turn. (+2 :rb_might: while it's an attacker.),,Rafael Zanchetin,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/931b77b9ab56c3abc85686be4d2452c450f9b3e0-744x1039.png?accountingTag=RB,False,False,False,666792,,69bc5be4d308c64675ca88f0,2026-06-09T19:37:42.747060+00:00
sfd-004-221,SFD,Spiritforged,4,004/221,Bushwhack,Common,Spell,,Fury,2,,1,,,[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.)Friendly units enter ready this turn. Play a Gold gear token exhausted.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f728959ad6d4ee6c507310000c3c9e02c0772a16-744x1039.png?accountingTag=RB,False,False,False,666793,,69bc5be4d308c64675ca88f1,2026-06-09T19:37:42.747060+00:00
sfd-005-221,SFD,Spiritforged,5,005/221,Detonate,Common,Spell,,Fury,1,,1,,,Kill a gear. Its controller draws 2.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e837fbd6aeeb1293386dcfa284aae5a4baca10ef-744x1039.png?accountingTag=RB,False,False,False,666794,,69bc5be4d308c64675ca88f2,2026-06-09T19:37:42.747060+00:00
sfd-006-221,SFD,Spiritforged,6,006/221,Eager Drakehound,Common,Unit,,Fury,3,3,1,,"Dog,Dragon,Noxus",I enter ready.,,Michal Ivan,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ac0fac5af309842ba91b4b8d80e1abd47622e14a-744x1039.png,False,False,False,666795,,69bc5be4d308c64675ca88f3,2026-06-09T19:37:42.747060+00:00
sfd-007-221,SFD,Spiritforged,7,007/221,Gem Jammer,Common,Unit,,Fury,2,2,,,"Mech,Bandle City","When you play me, give a unit [Ganking] this turn. (It can move from battlefield to battlefield.)",,Caravan Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9f487e8a76e6e6b9f2e32de0c9c147be42f49e59-744x1039.png,False,False,False,665591,,69bc5bdfd308c64675ca8891,2026-06-09T19:37:42.747060+00:00
sfd-008-221,SFD,Spiritforged,8,008/221,Sentinel Adept,Common,Unit,,Fury,3,3,,,"Shadow Isles,Sentinel","[Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for :rb_rune_rainbow: less, even if it's already attached.)",,Wild Blue Studios,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/94e213b77131d9a67e51743a35fc5dff80fd79ec-744x1039.png,False,False,False,666797,,69bc5be4d308c64675ca88f5,2026-06-09T19:37:42.747060+00:00
sfd-009-221,SFD,Spiritforged,9,009/221,Serrated Dirk,Common,Gear,,Fury,1,,,,Equipment,[Equip] :rb_rune_fury: (:rb_rune_fury:: Attach this to a unit you control.),,黯荧岛Dark Glow,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9498c8146745124fc45a7b55184854a9c9da21f5-744x1039.png,False,False,False,666800,,69bc5be4d308c64675ca88f7,2026-06-09T19:37:42.747060+00:00
sfd-010-221,SFD,Spiritforged,10,010/221,Void Drone,Common,Unit,,Fury,3,3,,,The Void,I cost :rb_energy_2: less to play from anywhere other than your hand.,,Wild Blue Studios,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/589dde45bc610eb83bc808803e4becf8a6d2da84-744x1039.png,False,False,False,665136,,69bc5bded308c64675ca8886,2026-06-09T19:37:42.747060+00:00
