riftbound_id,set_code,set_name,collector_number,printed_number,name,rarity,type,supertype,domain,energy,might,power,keywords,tags,rules_text,flavour_text,artist,image_url,alternate_art,signature,overnumbered,tcgplayer_id,cardmarket_id,riftcodex_id,synced_at
ogn-001-298,OGN,Origins,1,001/298,Blazing Scorcher,Common,Unit,,Fury,5,5,,,"Dragon,Noxus",[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.),,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/15ed971e4029a92b362a81ccadf309fb81e40b81-744x1039.png?accountingTag=RB,False,False,False,652771,,69bc5bc6d308c64675ca86b6,2026-06-09T19:37:59.167100+00:00
ogn-002-298,OGN,Origins,2,002/298,Brazen Buccaneer,Common,Unit,,Fury,6,5,,,"Pirate,Bilgewater","As you play me, you may discard 1 as an additional cost. If you do, reduce my cost by :rb_energy_2:.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d481971f7560e7235e7d6934767da18daa019eff-744x1039.png?accountingTag=RB,False,False,False,652772,,69bc5bc6d308c64675ca86b7,2026-06-09T19:37:59.167100+00:00
ogn-003-298,OGN,Origins,3,003/298,Chemtech Enforcer,Common,Unit,,Fury,2,2,,,Zaun,"[Assault 2] (+2 :rb_might: while I'm an attacker.)When you play me, discard 1.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/19dcf211457d9c9c6e9ea0cd32af76c2c92a3160-744x1039.png?accountingTag=RB,False,False,False,652773,,69bc5bc6d308c64675ca86b8,2026-06-09T19:37:59.167100+00:00
ogn-004-298,OGN,Origins,4,004/298,Cleave,Common,Spell,,Fury,1,,,,,[Action] (Play on your turn or in showdowns.)Give a unit [Assault 3] this turn. (+3 :rb_might: while it's an attacker.),,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/95d476a1e88ff547fb846149619177bc7e3cea9f-744x1039.png?accountingTag=RB,False,False,False,652774,,69bc5bc6d308c64675ca86b9,2026-06-09T19:37:59.167100+00:00
ogn-005-298,OGN,Origins,5,005/298,Disintegrate,Common,Spell,,Fury,4,,,,,"[Action] (Play on your turn or in showdowns.)Deal 3 to a unit at a battlefield. If this kills it, do this: draw 1.",,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a27374ac3a81f3dfefb43c3c3237c23b4883cb5a-744x1039.png,False,False,False,652775,,69bc5bc6d308c64675ca86ba,2026-06-09T19:37:59.167100+00:00
ogn-006-298,OGN,Origins,6,006/298,Flame Chompers,Common,Unit,,Fury,3,3,,,Zaun,"When you discard me, you may pay :rb_rune_fury: to play me.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1f6f5ebd18e5daac30d62626fddd785c4b457c2b-744x1039.png,False,False,False,652776,,69bc5bc6d308c64675ca86bb,2026-06-09T19:37:59.167100+00:00
ogn-007a-298,OGN,Origins,7,007a/298,Fury Rune (Alternate Art),Showcase,Rune,Basic,Fury,,,,,,,,Fairfoul,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/09da06c69d07d4e72dde703737ef167472c715af-1488x2078.png,True,False,False,652778,,69bc5bc7d308c64675ca86bd,2026-06-09T19:37:59.167100+00:00
ogn-007-298,OGN,Origins,7,007/298,Fury Rune,Common,Rune,Basic,Fury,,,,,,,,Greg Ghielmetti & Leah Chen,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/12bcd0cde5d9ff4640e82945001e9fef863530f1-744x1039.png,False,False,False,652777,,69bc5bc6d308c64675ca86bc,2026-06-09T19:37:59.167100+00:00
ogn-008-298,OGN,Origins,8,008/298,Get Excited!,Common,Spell,,Fury,2,,1,,,[Action] (Play on your turn or in showdowns.)Discard 1. Deal its Energy cost as damage to a unit at a battlefield. (Ignore its Power cost.),,Original Force Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2906c932c482af17fbb2979a8c42a6992f95d6a6-744x1039.png,False,False,False,652779,,69bc5bc7d308c64675ca86be,2026-06-09T19:37:59.167100+00:00
ogn-009-298,OGN,Origins,9,009/298,Hextech Ray,Common,Spell,,Fury,1,,1,,,[Action] (Play on your turn or in showdowns.)Deal 3 to a unit at a battlefield.,,League of Legends,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1e7d12693822c38377ddc8f15db23e2f9b6d560a-744x1039.png,False,False,False,652780,,69bc5bc7d308c64675ca86bf,2026-06-09T19:37:59.167100+00:00
