riftbound_id,set_code,set_name,collector_number,printed_number,name,rarity,type,supertype,domain,energy,might,power,keywords,tags,rules_text,flavour_text,artist,image_url,alternate_art,signature,overnumbered,tcgplayer_id,cardmarket_id,riftcodex_id,synced_at
opp-001-298,OPP,Riftbound Organized Play Promotional Cards,1,001/298,Blazing Scorcher,Promo,Unit,,Fury,5,5,,,"Dragon,Noxus",[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.),,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/15ed971e4029a92b362a81ccadf309fb81e40b81-744x1039.png?accountingTag=RB,False,False,False,662914,,69bc5bf1d308c64675ca89e5,2026-06-09T19:38:12.334020+00:00
opp-001-024,OPP,Riftbound Organized Play Promotional Cards,1,001/024,Annie - Fiery,Promo,Unit,Champion,Fury,5,4,1,,"Annie,Noxus",Your spells and abilities deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),,Polar Engine Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/532d75dc36a16eb5954253a77366fcceac7aec62-744x1039.png?accountingTag=RB,False,False,False,680296,,69bc5bf3d308c64675ca8a0c,2026-06-09T19:38:12.334020+00:00
opp-004-024,OPP,Riftbound Organized Play Promotional Cards,4,004/024,Master Yi - Meditative,Promo,Unit,Champion,Calm,5,4,1,,"Master Yi,Ionia","While you have 8+ runes, I have +4 :rb_might:.",,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5508566c8f05f09492148faa803332a731095eb7-744x1039.png,False,False,False,680323,,69bc5bf3d308c64675ca8a10,2026-06-09T19:38:12.334020+00:00
opp-006-024,OPP,Riftbound Organized Play Promotional Cards,6,006/024,Lux - Illuminated,Promo,Unit,Champion,Mind,6,5,1,,"Lux,Demacia","When you play a spell that costs :rb_energy_5: or more, give me +3 :rb_might: this turn.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a0d10edf30abb6fde21f5d386e9a7db3c1b0a098-744x1039.png,False,False,False,680339,,69bc5bf3d308c64675ca8a14,2026-06-09T19:38:12.334020+00:00
opp-007-221,OPP,Riftbound Organized Play Promotional Cards,7,007/221,Gem Jammer,Promo,Unit,,Fury,2,2,,,"Mech,Bandle City","When you play me, give a unit [Ganking] this turn. (It can move from battlefield to battlefield.)",,Caravan Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9f487e8a76e6e6b9f2e32de0c9c147be42f49e59-744x1039.png,False,False,False,680286,,69bc5bf3d308c64675ca8a0b,2026-06-09T19:38:12.334020+00:00
opp-007b-298,OPP,Riftbound Organized Play Promotional Cards,7,007b/298,Fury Rune,Promo,Rune,Basic,Fury,,,,,,,,Greg Ghielmetti & Leah Chen,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/12bcd0cde5d9ff4640e82945001e9fef863530f1-744x1039.png,False,False,False,662900,,69bc5bf0d308c64675ca89d8,2026-06-09T19:38:12.334020+00:00
opp-007-024,OPP,Riftbound Organized Play Promotional Cards,7,007/024,Garen - Rugged,Promo,Unit,Champion,Body,6,5,1,,"Elite,Garen,Demacia","[Assault 2], [Shield 2] (+2 :rb_might: while I'm an attacker or defender.)",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/67c22dc29a7a28dabe0f169a7848c25bef1fbda4-744x1039.png,False,False,False,680360,,69bc5bf3d308c64675ca8a17,2026-06-09T19:38:12.334020+00:00
opp-009-221,OPP,Riftbound Organized Play Promotional Cards,9,009/221,Serrated Dirk,Promo,Gear,,Fury,1,,,,Equipment,[Equip] :rb_rune_fury: (:rb_rune_fury:: Attach this to a unit you control.),,黯荧岛Dark Glow,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9498c8146745124fc45a7b55184854a9c9da21f5-744x1039.png,False,False,False,680301,,69bc5bf3d308c64675ca8a0d,2026-06-09T19:38:12.334020+00:00
opp-009-024,OPP,Riftbound Organized Play Promotional Cards,9,009/024,Master Yi - Honed,Promo,Unit,Champion,Body,7,6,1,,"Master Yi,Ionia",[Ganking] (I can move from battlefield to battlefield.)I enter ready.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0e16976cd6d7ee5a874be9351b428671990fbd25-744x1039.png,False,False,False,680376,,69bc5bf3d308c64675ca8a19,2026-06-09T19:38:12.334020+00:00
opp-010-024,OPP,Riftbound Organized Play Promotional Cards,10,010/024,Annie - Stubborn,Promo,Unit,Champion,Chaos,4,3,1,,"Annie,Noxus","When you play me, return a spell from your trash to your hand.",,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44eb968cf0c54e75970588b69eef5c5f5ccc9b24-744x1039.png?accountingTag=RB,False,False,False,680416,,69bc5bf3d308c64675ca8a1d,2026-06-09T19:38:12.334020+00:00
opp-013-221,OPP,Riftbound Organized Play Promotional Cards,13,013/221,Blast Corps Cadet,Promo,Unit,,Fury,2,2,,,Piltover,"You may pay :rb_energy_1::rb_rune_fury: as an additional cost to play me.When you play me, if you paid the additional cost, deal 2 to a unit at a battlefield.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9efe5a8322a90822650ff18578cd5e1a8561fac5-744x1039.png?accountingTag=RB,False,False,False,680282,,69bc5bf2d308c64675ca8a0a,2026-06-09T19:38:12.334020+00:00
opp-013-298,OPP,Riftbound Organized Play Promotional Cards,13,013/298,Pouty Poro,Promo,Unit,,Fury,2,2,,,Poro,[Deflect] (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.),,Caravan Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d541bf3bcb5aa3ad0d48d87f5753569b72ac426f-744x1039.png,False,False,False,662908,,69bc5bf0d308c64675ca89df,2026-06-09T19:38:12.334020+00:00
opp-013-024,OPP,Riftbound Organized Play Promotional Cards,13,013/024,Garen - Commander,Promo,Unit,Champion,Order,6,5,1,,"Elite,Garen,Demacia",Other friendly units have +1 :rb_might: here.,,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/cbf2c12d69a86566e4cda07050b2d4495e40187e-744x1039.png,False,False,False,680441,,69bc5bf4d308c64675ca8a22,2026-06-09T19:38:12.334020+00:00
opp-014-024,OPP,Riftbound Organized Play Promotional Cards,14,014/024,Lux - Crownguard,Promo,Unit,Champion,Order,4,2,,,"Lux,Demacia",:rb_exhaust:: [Reaction] — [Add] :rb_energy_2:. Use only to play spells. (Abilities that add resources can't be reacted to.),,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/17d0793ad495727e67bb1c94ae0e11cd4705870f-744x1039.png,False,False,False,680439,,69bc5bf4d308c64675ca8a21,2026-06-09T19:38:12.334020+00:00
opp-017-024,OPP,Riftbound Organized Play Promotional Cards,17,017/024,Annie - Dark Child (Metal),Promo,Legend,Champion,"Fury,Chaos",,,,,Annie,"At the end of your turn, ready up to 2 runes.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/89963e1d1cffd69c620fb5d6b037f50d5c334463-744x1039.png?accountingTag=RB,False,False,False,669265,,69bc5bf2d308c64675ca89fd,2026-06-09T19:38:12.334020+00:00
opp-017-024,OPP,Riftbound Organized Play Promotional Cards,17,017/024,Annie - Dark Child,Promo,Legend,Champion,"Fury,Chaos",,,,,Annie,"At the end of your turn, ready up to 2 runes.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/89963e1d1cffd69c620fb5d6b037f50d5c334463-744x1039.png?accountingTag=RB,False,False,False,680247,,69bc5bf2d308c64675ca8a02,2026-06-09T19:38:12.334020+00:00
opp-018-024,OPP,Riftbound Organized Play Promotional Cards,18,018/024,Tibbers,Promo,Unit,Signature,"Fury,Chaos",8,7,2,,Annie,"When you play me, deal 3 to all units at battlefields.",,Polar Engine Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/74f8bc78573b33d9979b0e9c121b858d770a490c-744x1039.png,False,False,False,680254,,69bc5bf2d308c64675ca8a03,2026-06-09T19:38:12.334020+00:00
opp-019-024,OPP,Riftbound Organized Play Promotional Cards,19,019/024,Master Yi - Wuju Bladesman (Metal),Promo,Legend,Champion,"Calm,Body",,,,,Master Yi,"While a friendly unit defends alone, it gets +2 :rb_might:.",,Grafit Studio/Quy Ho,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8231ced23eaf22ca3bf62ec8cb86b83a3e222da6-744x1039.png,False,False,False,669266,,69bc5bf2d308c64675ca89fe,2026-06-09T19:38:12.334020+00:00
opp-019-024,OPP,Riftbound Organized Play Promotional Cards,19,019/024,Master Yi - Wuju Bladesman,Promo,Legend,Champion,"Calm,Body",,,,,Master Yi,"While a friendly unit defends alone, it gets +2 :rb_might:.",,Grafit Studio/Quy Ho,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8231ced23eaf22ca3bf62ec8cb86b83a3e222da6-744x1039.png,False,False,False,680257,,69bc5bf2d308c64675ca8a04,2026-06-09T19:38:12.334020+00:00
opp-020-024,OPP,Riftbound Organized Play Promotional Cards,20,020/024,Highlander,Promo,Spell,Signature,"Calm,Body",4,,,,Master Yi,"[Reaction] (Play any time, even before spells and abilities resolve.)Choose a friendly unit. The next time it would die this turn, heal it, exhaust it, and recall it instead. (Send it to base. This isn't a move.)",,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/18c0818cbbfdf26a1237b4f7703b1f035f47b014-744x1039.png,False,False,False,680260,,69bc5bf2d308c64675ca8a05,2026-06-09T19:38:12.334020+00:00
opp-021-024,OPP,Riftbound Organized Play Promotional Cards,21,021/024,Lux - Lady of Luminosity,Promo,Legend,Champion,"Mind,Order",,,,,Lux,"When you play a spell that costs :rb_energy_5: or more, draw 1.",,Grafit Studio/Maki Planas Mata,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44885d811b70621b188d9813b2b10b5cff1b81e6-744x1039.png,False,False,False,680262,,69bc5bf2d308c64675ca8a06,2026-06-09T19:38:12.334020+00:00
opp-021-024,OPP,Riftbound Organized Play Promotional Cards,21,021/024,Lux - Lady of Luminosity (Metal),Rare,Legend,Champion,"Mind,Order",,,,,Lux,"When you play a spell that costs :rb_energy_5: or more, draw 1.",,Grafit Studio/Maki Planas Mata,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44885d811b70621b188d9813b2b10b5cff1b81e6-744x1039.png,False,False,False,669267,,69bc5bf2d308c64675ca89ff,2026-06-09T19:38:12.334020+00:00
opp-022-024,OPP,Riftbound Organized Play Promotional Cards,22,022/024,Final Spark,Promo,Spell,Signature,"Mind,Order",8,,,,Lux,[Action] (Play on your turn or in showdowns.)Deal 8 to a unit.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4558a2dc1bb1f1b8a73ec0d82244654e84b12687-744x1039.png,False,False,False,680263,,69bc5bf2d308c64675ca8a07,2026-06-09T19:38:12.334020+00:00
opp-023-024,OPP,Riftbound Organized Play Promotional Cards,23,023/024,Garen - Might of Demacia (Metal),Promo,Legend,Champion,"Body,Order",,,,,Garen,"When you conquer, if you have 4+ units at that battlefield, draw 2.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e7185deb46f17770802d06aeddfe3b929afff880-744x1039.png,False,False,False,669268,,69bc5bf2d308c64675ca8a00,2026-06-09T19:38:12.334020+00:00
opp-023-024,OPP,Riftbound Organized Play Promotional Cards,23,023/024,Garen - Might of Demacia,Promo,Legend,Champion,"Body,Order",,,,,Garen,"When you conquer, if you have 4+ units at that battlefield, draw 2.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e7185deb46f17770802d06aeddfe3b929afff880-744x1039.png,False,False,False,680266,,69bc5bf2d308c64675ca8a08,2026-06-09T19:38:12.334020+00:00
opp-024-024,OPP,Riftbound Organized Play Promotional Cards,24,024/024,Decisive Strike,Promo,Spell,Signature,"Body,Order",5,,1,,Garen,[Action] (Play on your turn or in showdowns.)Give friendly units +2 :rb_might: this turn.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/986782271be078c184a8d1c196e375106459c6c5-744x1039.png?accountingTag=RB,False,False,False,680270,,69bc5bf2d308c64675ca8a09,2026-06-09T19:38:12.334020+00:00
