riftbound_id,set_code,set_name,collector_number,printed_number,name,rarity,type,supertype,domain,energy,might,power,keywords,tags,rules_text,flavour_text,artist,image_url,alternate_art,signature,overnumbered,tcgplayer_id,cardmarket_id,riftcodex_id,synced_at
ogs-001-024,OGS,Origins: Proving Grounds,1,001/024,Annie - Fiery,Epic,Unit,Champion,Fury,5,4,1,,"Annie,Noxus",Your spells and abilities deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),,Polar Engine Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/532d75dc36a16eb5954253a77366fcceac7aec62-744x1039.png?accountingTag=RB,False,False,False,653136,,69bc5bd8d308c64675ca8816,2026-06-09T19:37:49.001313+00:00
ogs-002-024,OGS,Origins: Proving Grounds,2,002/024,Firestorm,Uncommon,Spell,,Fury,6,,1,,,Deal 3 to all enemy units at a battlefield.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a7a34129e64f0296bf2da166c2b06ed156d568db-744x1039.png,False,False,False,653137,,69bc5bd8d308c64675ca8817,2026-06-09T19:37:49.001313+00:00
ogs-003-024,OGS,Origins: Proving Grounds,3,003/024,Incinerate,Common,Spell,,Fury,2,,,,,[Action] (Play on your turn or in showdowns.)Deal 2 to a unit at a battlefield.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/46e4eaada1412f9b6c24751bdb3932c6a51e905f-744x1039.png,False,False,False,653138,,69bc5bd8d308c64675ca8818,2026-06-09T19:37:49.001313+00:00
ogs-004-024,OGS,Origins: Proving Grounds,4,004/024,Master Yi - Meditative,Rare,Unit,Champion,Calm,5,4,1,,"Master Yi,Ionia","While you have 8+ runes, I have +4 :rb_might:.",,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5508566c8f05f09492148faa803332a731095eb7-744x1039.png,False,False,False,653139,,69bc5bd8d308c64675ca8819,2026-06-09T19:37:49.001313+00:00
ogs-005-024,OGS,Origins: Proving Grounds,5,005/024,Zephyr Sage,Uncommon,Unit,,Calm,6,6,1,,"Ionia,Bird",[Shield] (+1 :rb_might: while I'm a defender.),,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7664b03bb107954195153d9f2f86c5d63682fa4b-744x1039.png,False,False,False,653140,,69bc5bd8d308c64675ca881a,2026-06-09T19:37:49.001313+00:00
ogs-006-024,OGS,Origins: Proving Grounds,6,006/024,Lux - Illuminated,Rare,Unit,Champion,Mind,6,5,1,,"Lux,Demacia","When you play a spell that costs :rb_energy_5: or more, give me +3 :rb_might: this turn.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a0d10edf30abb6fde21f5d386e9a7db3c1b0a098-744x1039.png,False,False,False,653141,,69bc5bd8d308c64675ca881b,2026-06-09T19:37:49.001313+00:00
ogs-007-024,OGS,Origins: Proving Grounds,7,007/024,Garen - Rugged,Rare,Unit,Champion,Body,6,5,1,,"Elite,Garen,Demacia","[Assault 2], [Shield 2] (+2 :rb_might: while I'm an attacker or defender.)",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/67c22dc29a7a28dabe0f169a7848c25bef1fbda4-744x1039.png,False,False,False,653142,,69bc5bd9d308c64675ca881c,2026-06-09T19:37:49.001313+00:00
ogs-008-024,OGS,Origins: Proving Grounds,8,008/024,Gentlemen's Duel,Common,Spell,,Body,6,,1,,,[Action] (Play on your turn or in showdowns.)Give a friendly unit +3 :rb_might: this turn. Then choose an enemy unit. They deal damage equal to their Mights to each other.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4568ab827fdcd42d6bb86b1c2de6182e286c9ee9-744x1039.png,False,False,False,653143,,69bc5bd9d308c64675ca881d,2026-06-09T19:37:49.001313+00:00
ogs-009-024,OGS,Origins: Proving Grounds,9,009/024,Master Yi - Honed,Epic,Unit,Champion,Body,7,6,1,,"Master Yi,Ionia",[Ganking] (I can move from battlefield to battlefield.)I enter ready.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0e16976cd6d7ee5a874be9351b428671990fbd25-744x1039.png,False,False,False,653144,,69bc5bd9d308c64675ca881e,2026-06-09T19:37:49.001313+00:00
ogs-010-024,OGS,Origins: Proving Grounds,10,010/024,Annie - Stubborn,Rare,Unit,Champion,Chaos,4,3,1,,"Annie,Noxus","When you play me, return a spell from your trash to your hand.",,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/44eb968cf0c54e75970588b69eef5c5f5ccc9b24-744x1039.png?accountingTag=RB,False,False,False,653145,,69bc5bd9d308c64675ca881f,2026-06-09T19:37:49.001313+00:00
